start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2013,Kevin Hart: Let Me Explain,tt2609912,Kevin Hart: Let Me Explain,75.0,"Comedy,Documentary",6.8,7880.0,en,Kevin Hart: Let Me Explain,2013-07-03,LG/S,32200000.0,74000,14.0,"Jul 3, 2013","$2,500,000","$32,244,051","$32,327,255",2500000
2013,Khumba,tt1487931,Khumba,85.0,"Adventure,Animation,Family",5.7,4984.0,en,Khumba,2013-12-07,MNE,1000.0,27200000,54.0,"Dec 6, 2013","$15,000,000",$0,"$20,898,221",20000000
2013,Kick-Ass 2,tt1650554,Kick-Ass 2,103.0,"Action,Comedy,Crime",6.6,238832.0,en,Kick-Ass 2,2013-08-16,Uni.,28800000.0,32000000,65.0,"Aug 16, 2013","$28,000,000","$28,795,985","$63,129,909",28000000
2013,Kilimanjaro,tt2385119,Kilimanjaro,80.0,"Drama,Romance",6.1,218.0,en,Kilimanjaro,2013-03-09,,,,,,,,,Unknown
2013,Kilimanjaro,tt3882858,Kilimanjaro,95.0,Drama,,,en,Kilimanjaro,2013-03-09,,,,,,,,,Unknown
2013,Kill Your Darlings,tt1311071,Kill Your Darlings,104.0,"Biography,Drama,Romance",6.5,32625.0,en,Kill Your Darlings,2013-10-16,SPC,1000000.0,,,,,,,5678370
2013,Killer Holiday,tt1982735,Killer Holiday,103.0,"Horror,Thriller",3.1,588.0,en,Killer Holiday,2013-11-05,,,,,,,,,Unknown
2013,Killing Kennedy,tt3798698,Killing Kennedy,92.0,Documentary,4.8,16.0,en,Killing Kennedy,2013-11-10,,,,,,,,,Unknown
2013,Killing Season,tt1480295,Killing Season,91.0,"Action,Drama,Thriller",5.4,33570.0,en,Killing Season,2013-07-12,MNE,39900.0,,,,,,,Unknown
2013,Killing the Messenger: The Deadly Cost of News,tt3291728,Killing the Messenger: The Deadly Cost of News,78.0,Documentary,7.5,23.0,en,Killing the Messenger: The Deadly Cost of News,2013-09-01,,,,,,,,,Unknown
2013,King's Faith,tt2004271,King's Faith,108.0,Drama,6.5,665.0,en,King's Faith,2013-04-26,,,,,,,,,Unknown
2013,Kink,tt2017634,Kink,80.0,Documentary,6.3,1089.0,en,Kink,2013-01-19,,,,,,,,,Unknown
2013,Krampus: The Christmas Devil,tt2578608,Krampus: The Christmas Devil,82.0,"Action,Horror,Thriller",1.7,1519.0,en,Krampus: The Christmas Devil,2013-08-17,,,,,,,,,Unknown
2013,LFO,tt2660332,LFO,94.0,"Drama,Sci-Fi",6.6,1006.0,en,LFO,2013-09-20,,,,,,,,,Unknown
2013,Labor Day,tt1967545,Labor Day,111.0,"Drama,Romance",6.9,39242.0,en,Labor Day,2013-12-27,,,,,,,,,18000000
2013,Lad: A Yorkshire Story,tt2073600,Lad: A Yorkshire Story,96.0,Drama,8.6,1408.0,en,Lad: A Yorkshire Story,2013-04-25,,,,,,,,,Unknown
2013,Ladder to Damascus,tt3119566,Soullam ila Dimashk,95.0,"Drama,History,War",6.1,76.0,en,Soullam ila Dimashq,2013-09-07,,,,,,,,,Unknown
2013,Ladybeard,tt2729938,Ladybeard,104.0,Comedy,,,en,Ladybeard,2013-03-22,,,,,,,,,Unknown
2013,Last Girl,tt2196104,Last Girl,81.0,"Horror,Thriller",4.3,39.0,en,Last Girl,2013-01-16,,,,,,,,,Unknown
2013,Last Summer,tt2719868,Last Summer,73.0,"Drama,Romance",5.7,733.0,en,Last Summer,2013-05-16,,,,,,,,,Unknown
2013,Last Summer,tt2949890,Ruedoo ron nan chan tai,93.0,Horror,5.8,164.0,en,Last Summer,2013-05-16,,,,,,,,,Unknown
2013,Last Vegas,tt1204975,Last Vegas,105.0,"Comedy,Drama",6.6,121409.0,en,Last Vegas,2013-11-01,CBS,63900000.0,70500000,46.0,"Jan 28, 2013","$28,000,000","$63,914,167","$112,914,167",28000000
2013,Leather,tt2473718,Leather,101.0,"Comedy,Drama,Romance",5.1,300.0,en,Leather,2013-07-21,,,,,,,,,Unknown
2013,Leaving Limbo,tt1723127,Leaving Limbo,93.0,"Drama,Romance",6.6,63.0,en,Leaving Limbo,2013-07-02,,,,,,,,,Unknown
2013,Legends of the Knight,tt2697604,Legends of the Knight,76.0,"Biography,Documentary,Family",7.6,118.0,en,Legends of the Knight,2013-12-31,,,,,,,,,Unknown
2013,Lenny Cooke,tt2606924,Lenny Cooke,88.0,"Biography,Documentary,Drama",6.5,349.0,en,Lenny Cooke,2013-12-06,,,,,,,,,Unknown
2013,Leolex,tt2845434,Leolex,64.0,Horror,,,en,Leolex,2013-03-26,,,,,,,,,Unknown
2013,Let the Fire Burn,tt2119463,Let the Fire Burn,88.0,Documentary,7.8,1155.0,en,Let the Fire Burn,2013-10-02,,,,,,,,,Unknown
2013,Letters to Jackie: Remembering President Kennedy,tt2980332,Letters to Jackie: Remembering President Kennedy,90.0,Documentary,6.8,57.0,en,Letters to Jackie: Remembering President Kennedy,2013-06-19,,,,,,,,,Unknown
2013,Levitated Mass,tt2992220,Levitated Mass,88.0,"Biography,Documentary,History",6.8,134.0,en,Levitated Mass,2013-06-20,,,,,,,,,Unknown
2013,Life According to Sam,tt2558550,Life According to Sam,94.0,"Biography,Documentary,Drama",8.2,715.0,en,Life According to Sam,2013-10-21,,,,,,,,,Unknown
2013,Life Tracker,tt2140113,Life Tracker,109.0,Sci-Fi,5.2,376.0,en,Life Tracker,2013-03-09,,,,,,,,,Unknown
2013,Life of a King,tt2708254,Life of a King,100.0,Drama,6.9,5738.0,en,Life of a King,2013-06-22,,,,,,,,,Unknown
2013,Lil Bub & Friendz,tt2877280,Lil Bub & Friendz,65.0,Documentary,6.9,142.0,en,Lil Bub & Friendz,2013-04-18,,,,,,,,,Unknown
2013,Lily,tt2707804,Lily,85.0,Drama,5.6,109.0,en,Lily,2013-04-20,,,,,,,,,Unknown
2013,Linsanity,tt2359427,Linsanity,89.0,"Biography,Documentary,Sport",7.4,1846.0,en,Linsanity,2013-10-04,,,,,,,,,Unknown
2013,Listen,tt2604712,Listen,10.0,"Animation,Documentary,Drama",,,en,Listen,2013-08-29,,,,,,,,,Unknown
